continent,country,week,cases,deaths,recovered
South America,Ecuador,5,3646,180,100
South America,Ecuador,6,7466,333,501
South America,Peru,1,6,0,0
South America,Peru,2,43,0,0
South America,Peru,3,363,5,1
South America,Peru,4,852,18,16
South America,Peru,5,2281,83,989
South America,Peru,6,7519,193,1798
South America,Argentina,1,12,1,0
South America,Argentina,2,45,2,1
South America,Argentina,3,266,4,3
South America,Argentina,4,745,19,72
South America,Argentina,5,1451,44,280
South America,Argentina,6,2142,90,468
Africa,Egypt,1,49,1,1
Africa,Egypt,2,110,2,21
Africa,Egypt,3,327,14,56
Africa,Egypt,4,609,40,132
Africa,Egypt,5,1173,78,247
Africa,Egypt,6,2065,159,589
Africa,South Africa,1,3,0,0
Africa,South Africa,2,51,0,0
Africa,South Africa,3,274,0,0
Africa,South Africa,4,1280,2,31
Africa,South Africa,5,1655,11,95
Africa,South Africa,6,2173,25,410
Africa,Congo,1,0,0,0
Africa,Congo,2,3,0,0
Africa,Congo,3,33,1,0
Africa,Congo,4,84,6,2
Africa,Congo,5,1485,23,5
Africa,Congo,6,2776,25,21
Africa,Morocco,1,2,0,0
Africa,Morocco,2,28,1,1
Africa,Morocco,3,115,4,3
Africa,Morocco,4,479,26,13
Africa,Morocco,5,1021,70,76
Africa,Morocco,6,1661,118,177
Africa,Algeria,1,19,0,0
Africa,Algeria,2,48,4,12
Africa,Algeria,3,201,17,31
Africa,Algeria,4,511,31,65
Africa,Algeria,5,1320,152,90
Africa,Algeria,6,1914,293,591
Oceania,Australia,1,76,3,21
Oceania,Australia,2,297,3,23
Oceania,Australia,3,1549,7,88
Oceania,Australia,4,3984,16,244
Oceania,Australia,5,5687,35,757
Oceania,Australia,6,6315,60,1806
Oceania,NZ,1,5,0,0
Oceania,NZ,2,8,0,0
Oceania,NZ,3,102,0,0
Oceania,NZ,4,514,1,56
Oceania,NZ,5,1039,1,156
Oceania,NZ,6,1330,4,471
